UID: 3674537,Company Name: ,Country: 
Uid,Time,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Fee Rate,Trade ID,Order ID
3674537,2026-03-24 02:18:17,USDT,SIRENUSDT,Trade,Open Short,107.0000,316.0000,1.30439000,0E-8,0.15352671,0E-8,-0.15352671,5513.45072600,0.00110000,419f1b59-0cb4-5758-8694-ed572f2d2d4e,bf717593-bd8e-43fc-b7d3-acac6949ac56
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,26.0000,2126.0000,0.95975000,0E-8,0.02744885,0.89172933,0.86428048,5374.83889770,0.00110000,a4009dbc-f3c2-579e-a4ad-3cea73bb3e03,2b4b6346-690b-4456-b6cb-4144f7ee870a
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,17.0000,2661.0000,0.92934000,0E-8,0.01737866,0.06608380,0.04870514,5372.34561465,0.00110000,33f661c1-f788-5132-a526-5efff8430e67,280d6f46-a7a5-4112-b0fe-be04e332d7c5
3674537,2026-03-24 02:06:34,USDT,SIRENUSDT,Trade,Close Short,6.0000,99.0000,0.92986000,0E-8,0.00613708,0.30612000,0.29998292,5509.53160144,0.00110000,90fdb0f3-c753-569c-a922-f34b9d0bfa92,750075bb-7030-4db9-938e-ee70eb31db61
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,10.0000,2746.0000,0.93016000,0E-8,0.01023176,0.04707282,0.03684106,5372.08442840,0.00110000,e0cf30cd-db6b-5783-a801-43b8a378e2ca,280d6f46-a7a5-4112-b0fe-be04e332d7c5
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,7.0000,1516.0000,0.90709000,0E-8,0.00698460,0E-8,-0.00698460,5368.94066748,0.00110000,3082bc01-09cb-58e8-938a-9c2eacf7188d,2302f38d-0dd7-4a6b-b462-5481b4a08257
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,1.0000,2660.0000,0.92909000,0E-8,0.00102200,0.00363729,0.00261529,5372.34822994,0.00110000,2495930c-d741-5d22-a9e0-09a7222c6933,280d6f46-a7a5-4112-b0fe-be04e332d7c5
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,10.0000,1558.0000,0.95248000,0E-8,0.01047728,0.27027282,0.25979554,5391.18926861,0.00110000,942cfc36-84c5-5c9a-a771-c5ffea21b4c4,a22cca64-e151-41a0-a758-8b321e397a21
3674537,2026-03-24 02:00:45,USDT,SIRENUSDT,Trade,Open Long,520.0000,3011.0000,0.84843000,0E-8,0.48530196,0E-8,-0.48530196,5367.50104952,0.00110000,22bf3cd3-4504-535c-bd0d-ed09b79ccac7,d8d1c213-abe4-489a-9b37-dc8eb6980c94
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,35.0000,2134.0000,0.91356000,0E-8,0.03517206,0E-8,-0.03517206,5368.32120320,0.00110000,103123c2-37b5-5358-b0bd-40d96e807ee2,b71ac77b-39c0-4d7b-ab74-6daaf420a6cd
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,5.0000,3259.0000,0.93971000,0E-8,0.00516841,0.07128641,0.06611800,5367.35880483,0.00110000,d05e1c1d-b678-58a7-9753-5e0fa2e375d2,e54e79f4-406a-4f16-b0d5-3755558b28b4
3674537,2026-03-24 02:06:12,USDT,SIRENUSDT,Trade,Open Short,105.0000,105.0000,0.98088000,0E-8,0.11329164,0E-8,-0.11329164,5509.23161852,0.00110000,140710f2-30a0-5c25-87b6-6f46c901c344,7d13be4a-8693-425c-bc08-812be02742af
3674537,2026-03-23 22:26:58,USDT,LIGHTUSDT,Trade,Open Short,3.0000,284.0000,0.38660000,0E-8,0.00127578,0E-8,-0.00127578,5368.70943436,0.00110000,69c5cef9-cc77-53a2-a9e8-fa6d7bbf0d7b,9d1b8007-4dd2-43cf-8880-a6221aadf491
3674537,2026-03-23 20:53:01,USDT,LIGHTUSDT,Trade,Open Short,132.0000,377.0000,0.37780000,0E-8,0.05485656,0E-8,-0.05485656,5363.24327354,0.00110000,10083410-fff9-561b-a58e-ee416352d3d3,9642a7e8-17cb-4182-a72d-16d714de88bd
